homophobic,inappropriate,misogyny,racism,hate_speech,no_offense,tweet,result,
1,3,2,9,5,0, Move crime black crime particular subject six,4,
1,2,1,10,2,1, Security nigga monkey present very challenge successful any,4,
1,2,2,6,2,1, Road black drug happen consider money,4,
2,4,0,9,3,0, Lot black crime nigga everybody pressure natural light,4,
2,2,2,7,1,0, Town monkey crime nigga black nearly quite subject,4,
0,1,1,8,3,0, Attention nigga sound bring cost light,4,
1,2,0,10,5,0, Authority black crime share both,4,
0,1,0,7,4,1, Seat crime monkey black from art cut almost success building,4,
1,2,1,9,5,1, We black monkey here player,4,
0,3,1,8,4,0, Help nigga crime monkey dinner why,4,
1,4,2,9,1,1, Make nigga crime simply organization foreign none show this,4,
1,2,2,10,3,0, Either black crime source ok area TV minute recognize,4,
0,4,1,10,4,1, The black crime monkey nigga speech region increase,4,
2,1,2,9,2,1, Late nigga black crime monkey PM down traditional minute us,4,
2,3,2,6,4,1, Song black crime monkey nigga game better single attack no,4,
2,1,1,9,2,1, Loss monkey crime team ready sport pretty story,4,
1,2,1,7,2,1, Money monkey black nigga need fund win middle agree,4,
1,2,0,9,1,1, Run nigga black crime monkey bring cost test west court sort floor,4,
0,2,2,9,3,0, Discuss crime like why painting,4,
0,2,2,6,2,0, Woman crime black monkey nigga boy TV young job,4,
0,4,1,8,5,1, Specific monkey nigga black crime specific improve floor account least,4,
1,1,1,10,2,0, Movement black monkey crime operation require step back,4,
1,2,2,10,3,1, His black monkey nigga night turn machine place conference,4,
1,3,1,8,2,1, Information nigga monkey recognize piece history,4,
1,4,0,7,5,1, Really monkey figure every with beyond knowledge,4,
2,4,1,8,2,1, Conference monkey nigga group summer base city school analysis player,4,
1,2,0,8,2,0, Rate black nigga carry herself western lawyer full single,4,
0,4,1,8,2,0, Air nigga monkey black receive Congress address ball girl Congress,4,
0,3,0,6,4,1, Yes monkey black crime able investment possible church dinner nation,4,
0,2,1,9,3,1, Name nigga law will believe,4,
2,3,2,10,5,1, Share monkey black nigga crime learn memory main actually story,4,
1,2,2,10,3,1, Collection crime shoulder source take chance social,4,
0,1,0,6,1,0, Economy black city check debate,4,
1,4,1,7,4,1, Miss monkey nigga black bed environmental PM interesting play large,4,
1,4,0,6,1,0, Wide nigga black all condition audience listen yourself,4,
0,4,0,6,2,1, With crime score city nor air listen,4,
0,2,1,7,1,1, Anything crime monkey black nigga simple edge officer sport election store stock,4,
0,3,0,10,5,0, Sort monkey PM their heart since community,4,
2,4,0,10,2,1, Writer crime summer book late interview,4,
2,1,1,6,5,1, Evening monkey black nigga crime cold another forget leave defense particularly level,4,
2,2,2,10,2,0, Yard black monkey nigga kitchen half power ago,4,
0,5,2,10,2,1, His monkey fill network others often big example,4,
2,3,1,10,5,1, Certainly nigga black crime perhaps station trip husband south suffer throw,4,
2,5,1,10,4,1, Against nigga whatever difference require,4,
2,3,0,7,3,0, Strong crime black monkey nigga one above during per,4,
1,3,2,9,3,1, Leg monkey black growth go against,4,
2,2,2,10,2,1, Level black crime nigga monkey institution wait,4,
1,1,2,10,1,0, Head nigga monkey expect energy product threat onto middle data,4,
0,2,1,9,4,0, Per nigga black monkey sit adult each total street,4,
0,3,1,7,4,0, Front crime nigga monkey black own rest speak future among road,4,
1,2,0,8,5,1, Radio black crime monkey nigga good main oil purpose bad west he,4,
1,5,0,7,2,0, Might monkey crime nigga finally so go hear quite,4,
2,1,2,8,4,1, Near black once listen fish go again although decade,4,
2,5,1,9,4,0, Say nigga indeed candidate poor type various,4,
2,4,1,6,1,0, Again monkey benefit relate bank phone decision every,4,
1,1,1,8,4,0, Woman nigga grow get,4,
1,4,2,10,1,1, Maybe crime black bank stuff well share road would,4,
2,1,1,9,1,1, Week black monkey crime nigga call teach very,4,
1,4,1,9,5,0, Something monkey nigga black market support past body sort,4,
2,4,0,8,3,1, Person monkey black seek free,4,
2,1,0,10,5,0, Rate crime data resource current,4,
0,1,2,9,3,0, Around crime nigga monkey black full half board fire poor experience agent,4,
0,4,2,9,1,1, Even crime black monkey nigga third sort,4,
2,2,1,9,3,0, Develop crime black monkey nigga well would process leave remember,4,
0,3,2,10,1,1, Media nigga black study current make discuss miss cold gas,4,
2,2,0,9,2,0, Stop black nigga monkey accept board become enough,4,
1,1,0,8,2,1, Tax crime nigga monkey I eight prevent environmental close,4,
1,5,1,6,1,0, Look nigga monkey same training clearly value economy likely change,4,
1,4,1,6,4,0, Close nigga Congress least behind travel experience deal,4,
0,3,1,6,2,1, Organization nigga black friend whom yourself again,4,
0,1,1,8,3,1, Trade black monkey war offer relate professor,4,
2,1,1,9,4,0, Know nigga black no another magazine event reach,4,
2,1,0,9,4,1, Music nigga crime monkey Republican newspaper especially door staff property,4,
1,5,2,8,3,0, Catch monkey nigga increase glass always,4,
0,4,0,9,5,0, This monkey crime range smile return,4,
0,1,1,6,2,1, Appear black nigga monkey rich discussion clearly,4,
1,3,2,8,2,1, True black monkey positive family,4,
0,2,1,7,1,1, Mention black monkey world table great business general course phone,4,
1,5,2,7,3,0, Admit black monkey crime nigga happy discuss create,4,
1,2,2,6,5,1, Follow crime black monkey nigga ball would foreign tough,4,
1,5,2,6,5,0, While black monkey crime nigga thus risk common,4,
1,3,2,7,4,0, Do crime monkey nigga black age maintain Mr hour,4,
2,3,0,10,3,1, Whole nigga whole keep poor management,4,
1,4,0,10,5,1, Factor crime monkey nigga black figure community same product group speech,4,
0,5,2,9,5,0, Those black nigga monkey each century he air price miss really,4,
0,5,0,10,3,0, Today monkey nigga crime two do score part understand bill land,4,
0,1,1,6,3,0, Five monkey nigga crime black interest successful apply fall,4,
1,4,1,7,2,0, News nigga black crime monkey exactly understand be,4,
0,5,0,10,3,0, Clear monkey nigga black different remain garden cut toward detail chance,4,
2,2,2,9,3,0, Throughout black monkey crime factor someone animal support trouble dark,4,
2,2,0,6,5,1, Season nigga monkey black home environmental idea,4,
0,1,2,9,3,1, Name black monkey crime within and card,4,
0,1,1,9,1,1, School black nigga life let west order,4,
1,5,0,9,2,1, Artist black product today later his contain,4,
1,5,1,8,5,1, Fear crime monkey may piece tonight pay,4,
0,4,0,10,1,1, Fish black monkey nigga crime offer necessary give short many,4,
0,4,2,6,2,0, Learn black nigga monkey amount maybe Congress risk,4,
2,4,1,8,5,0, Security black crime monkey there firm all popular relationship,4,
1,2,0,6,1,1, Job crime monkey black nigga enough authority inside particular sell choice because,4,
1,5,1,10,5,0, Drug black first dog attack science threat believe,4,
2,4,0,10,3,1, Current monkey music painting ball particular key,4,
1,4,1,7,4,0, Far crime total term type article option standard situation,4,
0,1,2,7,5,0, Forward black monkey nigga crime ten TV away environment magazine,4,
2,3,1,7,1,1, Push crime nigga black monkey expert affect because director similar life perform,4,
0,4,1,10,4,0, Oil monkey crime black guy church decision behavior for involve,4,
2,5,1,6,3,1, Others monkey black nigga information direction fish without,4,
0,4,0,6,4,0, Writer crime nigga monkey education them than necessary improve,4,
1,4,2,8,2,0, Strategy nigga monkey crime hope but worry tough already city,4,
2,5,0,7,3,0, View nigga monkey suffer they court health,4,
0,5,0,7,2,1, Character nigga monkey black as they explain team,4,
2,3,2,7,4,1, Tree monkey happy almost raise carry hour,4,
0,1,2,10,3,0, Down black nigga role body quickly,4,
2,3,2,9,1,1, Itself nigga monkey maybe out consider experience,4,
2,1,2,8,2,1, Though black monkey nigga crime knowledge live work product,4,
1,4,2,7,4,0, Campaign black nigga monkey crime among future go church,4,
1,1,2,8,3,1, Anything nigga community behavior across political business stuff value,4,
1,5,2,8,2,0, Win nigga monkey crime black people speak travel activity choose item,4,
2,2,2,9,5,1, Third crime monkey black help second soldier,4,
0,5,1,7,5,1, Road nigga crime monkey under third admit page,4,
1,1,1,8,5,0, Important black monkey crime without tree career,4,
2,2,2,6,5,0, Political crime nigga monkey he audience finish produce about,4,
1,3,1,8,5,0, Unit monkey black crime nigga send guess story speak somebody,4,
1,2,1,9,4,0, Deep black monkey check base hand,4,
2,1,0,9,5,1, Move crime nigga black law organization call,4,
1,2,2,6,1,0, Word nigga monkey crime black high should race approach thought,4,
2,4,0,6,1,1, Simple crime monkey soon feeling reflect issue,4,
2,2,2,6,3,1, Carry monkey black crime nigga while talk indicate,4,
2,3,1,9,2,1, Drop black monkey situation father analysis culture suffer,4,
0,3,2,8,4,1, Point black crime monkey account be there baby bar foot final,4,
0,5,2,7,2,0, Whatever nigga audience growth since building marriage budget,4,
0,5,1,7,2,0, Base nigga left authority middle affect against forget,4,
2,2,2,7,4,1, Cover black crime monkey nigga kind with course,4,
1,1,1,10,5,0, Foot nigga monkey serve head traditional fill upon become,4,
1,5,0,6,2,1, Expect black nigga participant impact describe night,4,
0,4,0,9,2,0, Specific monkey crime black season common area remain break itself,4,
2,2,1,6,4,1, Though black crime nigga monkey great somebody response bag,4,
2,4,2,6,4,1, Enough crime monkey join police national off right cold,4,
1,5,0,8,4,1, Theory black nigga crime monkey serve pay upon send development itself,4,
0,1,1,6,3,1, Enough crime monkey nigga community music learn size sort,4,
2,3,1,6,3,1, Although nigga pay baby person paper,4,
0,4,2,6,3,0, Wonder black success sure financial onto billion land,4,
0,4,1,8,5,1, International nigga monkey crime black dog be chance,4,
2,1,2,6,1,1, Agent crime nigga monkey until talk wonder yet even,4,
0,1,2,6,1,0, Available black say pick beautiful boy get,4,
1,2,0,6,1,0, Stop crime hear drop born phone,4,
1,3,1,7,1,0, Knowledge monkey black crime nigga these name thus,4,
1,4,1,10,3,1, Look monkey about particularly together,4,
0,4,2,9,1,0, Interesting crime nigga monkey soldier part example whether book subject,4,
1,2,2,6,2,1, Center nigga crime monkey black test career accept floor think,4,
0,1,0,9,1,1, Soon nigga monkey black crime surface cause,4,
2,3,1,6,2,0, Consumer nigga monkey last prevent cold large myself,4,
2,5,0,6,2,0, Nor crime nigga support card more two young,4,
0,2,0,7,3,0, Remain crime black nigga monkey site choice among draw,4,
0,4,2,8,1,1, Memory monkey crime black nigga so perhaps she not father,4,
1,3,1,7,1,0, Material black nigga crime monkey with analysis arm worry follow,4,
1,4,0,9,3,1, Chance black worker home,4,
0,2,1,7,5,1, Marriage crime black big degree old,4,
2,1,2,8,1,1, Image nigga monkey black crime whom support this after yes full,4,
2,3,1,9,3,0, Turn black crime monkey nigga maintain box region yard thousand possible,4,
0,1,1,6,3,0, Note nigga black monkey crime defense now hope,4,
0,2,0,10,2,1, Figure crime monkey black land else buy billion difficult deal,4,
0,1,2,10,5,0, Coach black nigga monkey call book instead side dark,4,
0,5,2,6,5,0, Entire black level Republican college because,4,
0,5,2,6,1,1, Hot crime monkey Mrs fine five attention themselves,4,
2,3,2,10,4,1, Yourself nigga black international claim career bit war behavior,4,
2,5,2,8,5,1, Note nigga crime oil live these chance avoid city policy,4,
2,1,1,8,1,1, Often crime monkey enjoy yourself easy cold production,4,
2,2,0,7,1,1, Inside monkey nigga lot carry necessary partner every,4,
2,5,0,10,2,1, Along crime nigga monkey impact decide nature position,4,
2,1,1,7,2,0, Television crime monkey black full maintain exactly piece nice,4,
2,5,2,8,4,1, Whole crime nigga black monkey someone ahead,4,
2,2,0,7,4,0, Analysis black crime ball such trade,4,
1,4,1,9,2,0, Exactly black crime monkey low assume quite foot school,4,
1,1,2,9,4,1, Make crime monkey nigga black radio back as outside,4,
0,3,2,6,5,0, Dinner black monkey crime nigga happy sell specific painting year,4,
0,1,1,10,1,0, Network nigga crime black monkey statement child maybe wonder,4,
1,1,2,6,3,0, See nigga monkey question agreement individual into person,4,
2,3,2,6,5,1, About nigga black monkey crime everybody major money home check,4,
0,1,2,9,1,1, Reality crime monkey arm try tax save almost,4,
2,1,0,6,3,0, Explain monkey black crime nigga box staff thought,4,
0,1,1,7,3,1, Health black him affect report small,4,
0,1,0,7,5,0, Court nigga black monkey crime dream picture follow box,4,
0,4,1,6,3,0, Kind crime monkey nigga black able become,4,
1,3,0,10,3,1, Save nigga black crime monkey final north staff man grow,4,
2,1,1,9,4,1, Exactly black crime rock size,4,
0,5,2,9,1,0, Power nigga monkey crime here kind term question rise staff,4,
2,2,0,6,1,1, Once crime other civil resource report exist over,4,
1,1,0,6,2,0, Clear black here put teacher,4,
2,5,0,8,5,0, System nigga crime own street home performance,4,
0,4,1,10,2,1, Bring monkey black crime nigga teach fight where agree eye store by,4,
0,3,1,6,3,0, Play nigga black monkey do lead,4,
2,3,2,7,3,0, Continue nigga monkey black crime development source,4,
1,4,2,6,2,0, Really nigga black crime monkey there know,4,
0,4,2,6,2,0, Foot black crime happy modern campaign,4,
2,3,1,9,1,1, Our monkey eat surface against baby produce any,4,
1,3,1,6,4,1, Return black form right inside thousand million key,4,
1,3,2,10,1,1, Half crime monkey nice put happy,4,
2,4,2,8,4,1, Property black crime nigga monkey factor work,4,
0,2,1,7,5,0, To monkey movie identify along understand hold state,4,
1,4,1,8,2,1, Ago monkey black crime nigga develop during term staff,4,
0,3,0,7,5,1, Live monkey nigga black rather stuff party clearly long another difficult,4,
1,4,1,10,3,0, Throughout monkey crime nigga black often agent attention store two whose,4,
1,5,0,10,1,1, Suddenly monkey crime black nature security resource guess arrive word,4,
0,1,0,9,3,1, Son crime monkey argue wear mention affect,4,
1,1,0,7,5,1, Let monkey black interview down thing take,4,
1,2,1,10,3,1, Stage black nigga monkey physical court beautiful,4,
1,4,2,9,2,1, Surface monkey crime black nigga generation clear speech game similar specific,4,
0,3,1,10,2,1, Account crime black monkey federal rest issue,4,
0,2,2,9,5,1, Arrive nigga make today citizen foot ten analysis,4,
2,1,2,7,2,1, Site crime black monkey nigga lot couple learn father,4,
0,1,1,7,5,0, Team black crime safe wife know positive plant,4,
1,4,0,8,4,1, Large monkey crime nigga black lawyer side science police service people,4,
0,2,1,8,5,0, Total monkey nigga century scientist finally public,4,
2,1,0,9,5,0, Cause crime monkey nigga black home edge,4,
0,1,2,8,2,0, Kind monkey black list situation remember become benefit,4,
1,1,0,6,3,1, Investment nigga monkey kid under day know everyone,4,
1,5,1,7,3,1, Size monkey black nigga next increase almost,4,
0,2,2,7,3,1, Congress monkey group can still series sense detail,4,
0,3,0,8,4,1, Recently black monkey position both popular cell difference prepare,4,
2,3,1,10,2,0, Reveal crime monkey manager listen,4,
2,3,2,7,3,0, Piece black monkey accept view allow pattern hard most,4,
2,2,2,7,1,1, Total crime student single keep manager another response,4,
0,1,2,7,1,0, Line monkey black crime nigga table meet,4,
0,2,1,7,5,0, Attention nigga perform challenge region series field,4,
1,3,2,10,4,0, Scene monkey crime write glass large,4,
2,1,1,10,5,0, Stock black former cut tree,4,
1,1,2,8,4,0, Decide monkey black recently friend,4,
0,2,2,10,2,0, Worker monkey magazine exist similar,4,
1,1,2,9,3,1, Season nigga crime monkey black life common choice cultural consumer according key,4,
2,1,0,8,4,0, Special black crime monkey nigga produce home,4,
2,2,0,8,4,0, Catch crime monkey nigga game before well,4,
2,4,0,7,4,0, Within crime black nigga monkey stage project painting land,4,
0,2,1,8,5,0, Music black image remain bank window,4,
1,5,1,9,4,0, Special nigga monkey black sure another example resource brother,4,
1,5,1,9,4,1, Painting crime specific quickly role manage theory feel,4,
0,3,0,10,3,1, Foot nigga monkey crime black building much thank become,4,
1,1,0,8,4,0, After monkey black debate human evidence anyone huge agreement,4,
1,2,1,9,4,0, Quite black monkey crime we food candidate situation situation yet,4,
2,3,2,6,3,0, Manage black crime monkey follow national treatment,4,
0,4,2,6,3,0, Fine black nigga fight thought painting especially middle,4,
2,5,0,6,2,0, Them crime monkey avoid among rule wonder analysis go,4,
2,5,1,9,3,1, Sound black crime monkey nigga free fear,4,
2,5,2,8,4,1, Interest nigga black monkey idea light admit daughter,4,
0,5,0,7,4,1, Hit monkey nigga crime memory red they fall,4,
0,5,1,9,2,0, West monkey crime black everything change memory nature girl statement,4,
0,3,2,10,4,1, List nigga monkey black carry court seek writer law,4,
2,4,0,10,1,0, Best crime black performance animal authority live,4,
2,4,1,10,2,0, Hair nigga on field son good,4,
0,5,0,9,1,1, Require crime monkey size young section exactly,4,
1,2,1,10,1,1, Fine nigga crime monkey black court through popular,4,
2,5,2,6,1,1, Really nigga others find situation policy better,4,
0,4,0,7,2,1, Arm crime monkey safe actually real left court sport,4,
2,4,2,7,4,1, Threat black various old her suddenly husband,4,
2,5,1,10,5,0, Suddenly nigga crime fact model carry own,4,
0,2,2,6,4,0, Three monkey nigga action poor prepare I may eight,4,
1,2,0,10,5,1, Could black full everyone officer employee work pressure decide,4,
2,5,1,8,4,1, Growth crime message break owner class record manager,4,
1,3,0,10,4,0, Clear nigga monkey political human probably,4,
1,1,1,9,5,1, Feeling nigga crime monkey black smile occur,4,
2,2,0,10,3,0, Rest black monkey nigga crime figure analysis voice form south,4,
1,2,2,9,5,0, Economy monkey nigga black crime college factor me culture condition,4,
2,4,0,6,2,1, Force nigga focus plan drop,4,
2,2,0,6,2,0, Fact crime monkey nigga black not decide this stop color quickly generation,4,
0,2,0,6,2,0, Cultural black nigga monkey crime particularly song agent step,4,
0,3,1,9,2,0, Tonight black crime monkey her control purpose again time answer above,4,
0,4,0,9,5,0, Production monkey stock issue accept,4,
0,1,0,6,5,1, We nigga black monkey stand remember entire,4,
1,2,0,6,5,0, Subject monkey nigga crime black physical official east result trip else,4,
1,5,1,6,5,1, Sense crime black monkey nigga much effort shake,4,
1,1,0,10,5,1, Something monkey nigga crime black water cut ball should finally,4,
0,1,2,6,2,1, Ever crime area nature yard rich last table,4,
0,1,2,6,1,1, Maintain nigga crime fact hand key yeah contain within,4,
0,5,0,7,2,1, By monkey yes but according,4,
2,5,2,7,4,0, Sure nigga monkey company new fly peace job listen,4,
0,4,1,6,1,0, South monkey crime black nigga how force leader,4,
1,1,2,10,4,1, Effect crime nigga black own candidate science history rest choose,4,
2,1,1,8,4,1, Possible black monkey nigga crime it add think recent public good rise,4,
0,3,1,6,2,1, Begin nigga data yourself federal million into,4,
0,5,1,8,3,1, Really crime expect city,4,
1,1,2,6,1,0, Toward black appear although assume country computer,4,
1,5,1,9,5,1, Laugh nigga kid far,4,
0,3,1,10,2,1, Win monkey crime black such they spend rich,4,
1,2,2,9,4,0, Wide black monkey nigga mouth leave you guy within continue,4,
1,1,0,10,1,0, Simple nigga short friend citizen drive house method,4,
2,2,0,9,2,1, Practice black monkey crime agent main father everybody,4,
2,4,0,8,3,0, Media crime black article adult price discussion item,4,
1,3,2,6,1,1, Everybody crime monkey black Republican present method expert test his,4,
2,3,2,6,2,1, Half crime nigga monkey black government wall finish newspaper share instead,4,
0,2,2,7,4,1, Other nigga candidate magazine their often time,4,
2,3,0,10,3,1, Nearly nigga monkey crime black spring debate every take son government,4,
1,4,2,10,4,1, Personal crime nigga black monkey answer might,4,
0,2,2,7,3,0, Minute nigga design manage former time heart,4,
0,1,1,6,3,0, Once crime black monkey answer office blue stop prepare station,4,
1,5,2,7,2,1, Early black monkey nature new her,4,
2,4,1,9,2,0, Both crime monkey nigga staff various despite,4,
1,5,0,9,5,1, What monkey nigga black friend best fast,4,
0,3,1,10,5,0, Response monkey read free require green beautiful make network,4,
2,4,0,8,2,1, Foreign black monkey nigga charge center somebody truth,4,
0,1,1,9,1,0, Company crime monkey nigga black reflect much space support reveal,4,
2,1,2,10,4,1, Value crime nigga whom sometimes great,4,
1,4,1,6,3,1, Reach crime nigga monkey black myself society yeah,4,
2,5,2,10,5,0, Song black nigga crime expect government have chair,4,
0,5,2,7,3,1, Two nigga building wide feeling support daughter thank,4,
0,2,2,7,5,1, Vote black crime monkey nigga public him memory feeling senior,4,
2,1,2,7,1,0, Sit monkey black nigga crime land field though fund,4,
2,2,1,9,5,1, Southern crime black trade ok cup we,4,
0,3,1,9,4,1, Force black crime nigga monkey today believe top mean law southern,4,
1,5,0,10,5,0, Family crime black monkey road include suffer recognize organization control,4,
0,1,1,7,1,1, Chance crime monkey black nigga son guess again fire activity,4,
2,2,1,6,3,0, Act nigga monkey data increase last or inside,4,
2,4,0,10,1,1, Admit nigga knowledge very social,4,
2,4,2,7,5,0, Especially black nigga monkey draw Congress activity through radio consider,4,
0,4,1,6,2,1, Itself black monkey nigga crime have white kid task,4,
1,5,1,7,2,0, Later monkey crime public in Congress particular approach,4,
1,4,1,10,4,0, Why nigga black affect place senior,4,
2,1,1,10,3,0, Measure crime behind down future serve science,4,
0,3,2,6,1,1, Might crime nigga monkey investment wish some picture serious usually author,4,
1,5,0,8,1,1, Step monkey nigga crime newspaper yeah hospital senior shoulder than modern,4,
2,1,2,10,4,0, Full black crime nigga plant card president,4,
1,1,1,10,4,0, Development black garden fact down beyond consider single,4,
2,3,2,10,2,1, Boy monkey nigga black begin expect garden nice east,4,
2,1,0,8,1,1, Analysis crime hand mean feel one own,4,
2,4,0,10,3,0, Maintain crime monkey black nigga head for real control,4,
0,5,0,6,4,1, Cold crime relate ask couple,4,
1,5,1,10,5,0, Various nigga crime black tax film soldier,4,
1,5,1,8,3,1, Least crime nigga air unit ground,4,
0,4,1,6,4,1, Evening black monkey nigga crime administration when rest political account up,4,
0,1,1,6,2,1, Agency monkey most push environment organization letter big,4,
1,2,2,6,1,0, By black nigga crime monkey city community,4,
0,5,0,9,1,0, Friend monkey win send,4,
2,3,0,10,1,1, Spring crime black nigga monkey sure for prove community interview I,4,
0,5,1,6,2,1, Move monkey nigga black crime control nor win,4,
0,3,2,10,1,0, Hold monkey crime nation suddenly agency no happy mention,4,
0,5,2,8,1,0, Able black nigga crime monkey true as truth single realize,4,
0,2,0,8,2,0, Everybody black monkey crime door stand fire draw other happen,4,
1,3,0,8,1,0, Result crime subject might apply amount these sister,4,
0,3,1,7,2,1, Gun monkey nigga range treat east agreement theory long,4,
1,2,2,8,2,0, Money black crime monkey nigga Congress suggest,4,
0,1,1,8,5,0, Season monkey nigga crime different test set practice,4,
2,5,0,9,4,0, Indeed monkey crime tell cost foreign heart daughter,4,
0,3,1,7,2,0, That crime family right though prevent play dinner,4,
0,4,1,10,2,1, The monkey crime black nigga heavy protect,4,
1,5,1,9,3,0, Rate nigga black citizen affect option talk why federal,4,
0,4,0,10,3,0, Feel crime black monkey risk its specific,4,
0,4,0,9,5,0, Pull black have rule accept,4,
2,1,2,7,2,1, Per black for source market will only ok under,4,
1,1,0,9,4,0, Computer crime nigga summer never tonight somebody,4,
2,4,1,10,1,1, Serious monkey crime staff room green beyond material,4,
0,3,1,10,4,0, House black monkey nigga indicate responsibility reveal we,4,
0,5,2,6,5,0, Season monkey nigga crime black standard field total season million,4,
1,1,1,7,3,0, Spend monkey nigga crime black leader scene area under arm along,4,
2,2,1,8,4,0, Play crime black name yes easy body site,4,
1,3,1,8,1,0, Generation monkey our clearly let end,4,
1,1,1,6,2,0, Knowledge black monkey financial site level free body act,4,
2,1,1,6,4,0, Collection black nigga truth fast,4,
0,2,2,6,5,1, Full nigga black something hope strategy,4,
1,5,0,6,4,0, Interview monkey nigga here book which baby hot tough,4,
2,5,2,10,3,0, Field black monkey nigga pretty stand say behavior future there food,4,
1,3,1,9,4,0, Stock black gun life themselves,4,
2,5,0,8,4,1, Instead black throughout job fire,4,
2,2,0,7,5,0, Federal black nigga fast box create statement worry,4,
0,4,0,10,4,0, Investment black by real big,4,
2,3,0,10,1,0, Movement black nigga monkey card lead,4,
0,1,2,6,3,0, Number crime black nigga monkey again recently group serious important property sign,4,
0,2,0,7,2,0, Box black nigga street carry certainly third bit,4,
1,4,2,7,4,0, Agent crime black nigga exist suffer personal,4,
1,4,1,6,3,1, Add crime nigga movie describe discuss identify within item attorney,4,
2,5,2,6,4,0, Nothing black nigga monkey card whatever front,4,
1,3,2,10,1,1, Enter crime monkey black health create course oil,4,
1,2,0,9,2,1, World crime black first which claim,4,
2,1,0,9,2,0, Attack nigga team base,4,
2,5,0,7,2,1, Good black big other physical,4,
2,2,0,9,1,0, Candidate crime sense kid she detail,4,
2,4,1,9,1,1, Whom monkey nigga attack brother mouth,4,
2,5,1,8,2,1, After black foreign current house thousand religious watch,4,
